抓取時間,新聞標題,AI 情緒標籤,AI 信心度,當時股價,今日漲跌%
2026-02-24 17:49:48,AI供應鏈帶旺台股創高！市值型ETF再獲青睞　高息除息題材吸睛,Neutral,0.996,1965.0,2.61
2026-02-24 17:49:48,《半導體》均華5月19日召開股東會,Neutral,1.0,1965.0,2.61
2026-02-24 17:49:48,高雄大學攜手台積電等大廠 預約科技領航員,Neutral,1.0,1965.0,2.61
2026-02-24 17:49:48,台股一度飆逾千點 台積電叩關2000元/記憶體夯過年！力積電爆量飆漲停/矽光子「瘋馬行情」多檔亮燈漲停｜Yahoo財經掃描,Neutral,0.996,1965.0,2.61
2026-02-24 17:49:48,台股暴衝927點!創史上第二大漲點 　小台積電0052嗨翻規模破千億,Neutral,1.0,1965.0,2.61
2026-02-24 17:49:48,買不起台積電改買它！ 富邦0052規模正式破千億,Neutral,0.999,1965.0,2.61
2026-02-24 17:49:48,台積電衝破2000元不是夢！施振榮卸20年董事曝驚人持股數,Neutral,0.999,1965.0,2.61
2026-02-24 17:49:48,誰偷買台積電？最後1分鐘8011張神祕買單 外資砸135億元認錯回補,Neutral,0.997,1965.0,2.61
2026-02-24 17:49:48,好市多傳進駐台積電美廠旁「城中之城」 下個月動工,Neutral,0.999,1965.0,2.61
2026-02-24 18:03:10,台積電2073元天價要來了？ 盤後驚見仙人指路  20張「超鉅額」交易,Neutral,0.999,1965.0,2.61
2026-02-25 08:37:22,《基金》AI供應鏈股價飆 主動台股ETF馬力夯,Neutral,1.0,1965.0,2.61
2026-02-25 08:37:22,國情諮文前夕，美股反彈費半破頂，AMD飆升近9%、台積電ADR創高,Neutral,0.995,1965.0,2.61
2026-02-25 08:37:22,台積電ADR週二大漲4.25%，市值首破2兆美元，登全球第六大科企,Neutral,1.0,1965.0,2.61
2026-02-25 08:37:22,AI熱潮再起 美股道瓊漲370點、AMD漲逾8％、台積電ADR漲4.25％,Neutral,0.998,1965.0,2.61
2026-02-25 08:37:22,《半導體》注意股：台積電 近5日漲10.39%,Neutral,1.0,1965.0,2.61
2026-02-25 08:37:22,《盤前掃瞄-基本面》南電ASIC載板營收占比衝；雍智獲利增幅戰逾3成,Neutral,0.995,1965.0,2.61
2026-02-25 08:37:22,《台北股市》注意股：25日55檔 「1原因」台積電、日月光投控入列,Neutral,0.996,1965.0,2.61
2026-02-25 08:37:22,台積電ADR24日上漲15.71美元漲幅4.25%折台股2427.22元,Neutral,1.0,1965.0,2.61
2026-02-25 12:21:28,《台北股市》台積電2025元新天價解鎖！ 37千金齊創新猷,Neutral,1.0,2015.0,1.0
2026-02-25 12:21:28,台積電再攻天價登2025元（3） (圖),Neutral,1.0,2015.0,1.0
2026-02-25 12:21:28,台積電再攻天價登2025元（2） (圖),Neutral,1.0,2015.0,1.0
2026-02-25 12:21:28,台積電再攻天價登2025元（1） (圖),Neutral,1.0,2015.0,1.0
2026-02-25 12:21:28,台積電ADR飆漲4.25％！市場再度關注AI熱潮　美股全收高,Neutral,0.999,2015.0,1.0
2026-02-25 12:21:28,台積電衝上2000元「蛋清」成歷史？阿格力：別預設立場,Neutral,0.995,2015.0,1.0
2026-02-25 12:21:28,太依賴台積電？學者：晶片是川習會談判籌碼,Neutral,0.99,2015.0,1.0
2026-02-25 12:21:28,零關稅變15％ 黃偉哲拿台積電比喻：台灣蝴蝶蘭夠強 世界會我們開路,Neutral,0.983,2015.0,1.0
2026-02-25 12:21:28,「國會同意」成門檻？吳靜怡轟傅崐萁：股民血汗錢買的台積電成藍營攻防人質,Neutral,0.99,2015.0,1.0
2026-02-25 12:21:28,台積電變身飆馬股 今年來大漲3成創新天價2025元 市值衝到2兆美元,Neutral,0.999,2015.0,1.0
2026-02-25 12:21:28,"被列注意股照樣噴！台積電刷2,025元新天價　成交額爆427億元堅守王位",Neutral,0.999,2015.0,1.0
2026-02-25 12:21:28,台積電攻天價登2025元　台股站35000點關卡,Neutral,1.0,2015.0,1.0
2026-02-25 12:21:28,【Hot台股】台積電飆2025元新天價！網嗨「相信魏哲家 明年買新家」 投顧董座看法出爐,Neutral,0.999,2015.0,1.0
2026-02-25 12:21:28,魏哲家身價1年內暴增93億！台積電飆天價 可買10戶陶朱隱園,Neutral,0.999,2015.0,1.0
